,CourseCode,CourseNameEN,CourseNameFR,CourseContent,SummaryEN
20,AR-219,Introduction to CAD Tools in architecture,Introduction aux outils CAO en architecture,"Types and families of software used in design and modelling. Digital documentation and digitalization. An approach to 2D Computer Aided Design using ""standard"" (CAD) software (AutoCAD) from basic geometric construction to detailing. Techniques of modelling of 3D geometry and stereotomy using an ""universal"" software package (Rhino). Composition and layout (CAD, digital images) using appropriate software<semicolon/> focus on the digital chain from design to printing to fabrication. Theoretical and pratical case studies of digital representation in architecture. As computer aided design in only one of many approaches to architectural representation, the course will be linked with geometric problems considered in ""Stereotomy"" course (AR-211).","Based around the theme of stereotomy, the student will acquire the basic concepts and skills of two dimensional computer aided design and representation. The introduction to multiple software give the student the ability to choose the right digital tools."
21,AR-231,,,,
22,AR-239,,,,
23,AR-240,,,,
24,AR-301(a),Studio BA5 (Viganò),Théorie et critique du projet BA5 (Viganò),,"The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently."
25,AR-301(b),Studio BA5 (Graf F.),Théorie et critique du projet BA5 (Graf F.),"Building in built structures is not a new practice, far from it. What turns it into a contemporary attitude, however, is the kind of theoretical and practical questioning about the architectural object at all its scales, as well as a closer look at the material character of the building, which both give rise to the project. The protection project calls for a number of rational and technical investigations which will at once yield knowledge of the object of the study and define the uses of potential work to be carried out. The documentation of the building will be compiled with the help of historical research and graphic and photographic records, of its construction process and its material character, and of its sensitive and sensual aspects. The heritage value of the building will be determined by placing it in its historical, architectural and urban context, in the work of the actors that designed and built it, as well as in terms of its role as an economic and social resource. An analysis of its functional and distribution capacities, of its constitution and physical characteristics will dictate its potentials in terms of utilisation, maintenance and restructuring. The protection project is a dual and inseparable project of conservation and renovation: the material substance of an existing building is conserved, preserved, reinforced, set off to advantage or returned to its original function, while at the same time something new is grafted onto this building to produce a prolongation of its life-cycle, a superimposition and juxtaposition of added elements. The project also concerns the reinforcement of a metal frame as well as the addition of a new functional body, and it focuses on the awareness of the relations and interfaces produced by their significance. The workshop thus aims to familiarise students with the theoretical and practical elements of the development of the discipline of this project: of this ""knowledge in action"". The object - and indeed the entirety - of this study and the subject of the project is linked to our daily heritage: that of the towns and countryside of post-war French-speaking Switzerland.",Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.
26,AR-301(c),Studio BA5 (Ortelli L.),Théorie et critique du projet BA5 (Ortelli L.),"The studio focuses on European cities where exemplary collective housing experiences took place since the 1920s. It specifically analyses the role of housing in urban construction. The Berlin and Frankfurt Siedlungen, the large blocks in Hamburg or Amsterdam, the residential buildings of Stockholm<squote/>s or Copenhagen<squote/>s classicism, and the Wienerhöfe are both case studies and references. The design proposal is located every year in one of these cities, acting as an opportunity to get to know its urban structure and character. It will also address how collective housing can contribute to defining urban identity. This thematic will be constantly discussed from a functional and strictly architectural point of view.","The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail in the town of Edinburgh."
27,AR-301(d),Studio BA5 (Fröhlich M. & A.),Théorie et critique du projet BA5 (Fröhlich M. & A.),"Schinkel<squote/>s Bauakademie is one of the architect<squote/>s masterpieces and an important part of classical architecture of Berlin. With the planning of a new academy building as an architectural school and exhibition centre we want both to continue the tradition and take into account the chance for renewal and innovation. Here it is important to find a synthesis of successive constructive systems, without falling into copy. It should also be created a relation between extreme functional purpose, historical quotation and poetical refinement. The new design of the building of the Bauakademie has to complement the adjacent urban renewal projects in Berlin Mitte. A field trip will take place in Berlin. (7.10-11.10.2016) The students will visit the site. The trip will focus on the work of K. F. Schinkel. The associated costs will amount to 300CHF. While the project during the autumn semester will deal with the complexity and program for an educational institution at an urban scale, we will transfer the same issues to a small art-school-studio as a testing ground during the second semester, which will result in a built 1:1 project.","The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands."
28,AR-302(a),Studio BA6 (Viganò),Théorie et critique du projet BA6 (Viganò),"We need an open perspective on the design of cities and territories. Space is back again at the centre of our preoccupations: as a support which defines conditions, which asks to renew the practice of the urban and territorial project, in between urban design, landscape urbanism, regional and environmental planning. In the common field of the city-territory a new approach must be imagined, starting from individual and collective practices, natural dynamics, rationalization processes. The Alps are a special context in Europe where to study the relation between artificial and natural rationalities. Climate change acts inside this context as a stressor and as a connector. The Alps are crucial in the European space<semicolon/> their modifications can affect territories wider than the Alps themselves. Following the main rivers from the alpine sources to the sea, connecting the upstream territory with the plain downstream can construct an ideal section through the European territory. Strategies of mitigation and adaptation to climate change can be the starting point to re-contextualise the Alps inside Europe and for designing innovative habitat. These are the tasks of the studio. New life-cycles will open up in the Alpine territory in relation to climate change: from the big hydraulic infrastructural works to face the flooding risk till the dismantling ski-resorts. In both cases the embodied energy in the territory is to be investigated and considered as &#8220<semicolon/>spatial capital&#8221<semicolon/> to be recycled in a new cycle, inside new social geographies. Urban and territorial prototypes will be elaborated to give a concrete spatial configuration to these changes.","The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently."
29,AR-302(b),Studio BA6 (Graf F.),Théorie et critique du projet BA6 (Graf F.),See AR-301(b) Studio BA5 (Graf F.).,Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.
30,AR-302(c),Studio BA6 (Ortelli L.),Théorie et critique du projet BA6 (Ortelli L.),See AR-302(c) Studio BA5 (Ortelli L.).,"The aim is to design a residential complex of housing with collective activities and public spaces, from the urban plan to the construction detail in the town of Florence, next to Scandicci."
31,AR-302(d),Studio BA6 (Fröhlich M. & A.),Théorie et critique du projet BA6 (Fröhlich M. & A.),See AR-301(d) Studio BA5 (Fröhlich A. and Fröhlich M.).,Dealing with the building complex of the former Agricultural Research Center in St. Aubin the atelier will focus on different level of reuse. Starting with the inventory and analysis of the existing building complex we will deal with its programmatic and spatial reorganization.
32,AR-313,"Expressive figuration
",Figuration expressive,Text not translated.,The course aims to introduce the basis of representation of architecture and to present its operative technics. The primary objective is to provide students with those tools necessary to define and communicate architectural concepts in their physical expression.
33,AR-324,,,,
34,AR-331,Construction and sustainability V,Construction et durabilité V,Heating: design process - system evaluation - renewable heat production. Ventilation: ventilation / air conditioning design process - heat recovering systems. Plumbing: design and planning - solar heated water. Electricity: design process - artificial lighting. Fire security: global concepts and protection methods. Spatial coordination: Integration of appliances in a global architectural concept.,"The course ""Construction and sustainability V"" focuses on technical appliances for buildings: their specificities, their coordination and their integration in a project design."
35,AR-332,,,,
36,AR-337,Design of structures,Concevoir des structures,"Built examples (buildings, bridges and structures) are studies and analysed in detail. Presentation include urban, architectural, and structural aspects. Analytical understanding of those selected build examples allows the fabrication of physical models of structural fragments and structural and structural details. Variants of structural details are conceived and discussed.",Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.
37,AR-339,Designing built heritage: Tools and methods,Concevoir dans le construit : outils et méthodes,,"70% of the work of architectural offices is conducted in the existing. The course aims to provide students with the basic theoretical and practical tools to approach the project in the existing, on the current built heritage but also the monumental heritage."
38,AR-367,Environmental histories,Histoires de l<squote/>environnement,,"This course aims at introducing students to the history of landscapes and the environment, and to the ways in which the environmental concerns, which are strongly going to affect the design of cities and architecture, have emerged during the last decades."
39,AR-401(b),Studio MA1 (Gugger),Théorie et critique du projet MA1 (Gugger),"The Middle East was the birthplace of the Neolithic Revolution, the founding agricultural act that came to humanize and domesticate the planet. Bridging between Africa and Eurasia and pervaded by large rivers and marshlands, it contained a comparatively moist and fertile land. While climate changes during the Ice Age led to repeated extinction events, this region retained a greater amount of biodiversity than either Europe or North Africa, making it a crucial link in the distribution of Old World flora and fauna, including the spread of humanity. It is considered the Cradle of Civilization because it saw some of the very first developments in human social and technological inventions such as cities, class-based societies, monumental architecture, writing, the wheel, and irrigation. It was home to the eight Neolithic founder crops and four species of domesticated animals (cows, goats, sheep, and pigs). Aslo known as the Fertile Crescent, this region saw the onset of the human domination of nature and the birth of a long history of pastoral aesthetics. laba Studio 2016/17 will focus on Israel and the role played by agriculture in: 1) territorial appropriation and domestication<semicolon/> 2) structuring the development of urbanization<semicolon/> 3) creating a national homeland narrative<semicolon/> and 4) changing the climate. We will look into the three major types of Israeli agricultural development: the vernacular Palestinian/Bedouin, the socialist utopian Kibbutz/ Moshav, and the high-tech desert farming.The studio will be carried out in collaboration with Landbasics, a landscape architecture Master studio at the Technion headed by Prof. Matanya Sack.","laba<squote/>s focal theme is Urban Nature. Due to the scale and character of today<squote/>s territorial expansion, the definition of the urban becomes more diffuse and complex. laba<squote/>s didactic method takes students through design scales ranging from the territorial to the architectural in a year long course."
40,AR-401(c),Studio MA1 (Geers),Théorie et critique du projet MA1 (Geers),"After a full year of research into Metropolitan Architecture, this time Architecture without Content will tackle the Commons. In the wake of Brexit and the current soul searching inside the European continent about both the amplitude of its territory and the essence of its shared culture, this issue appears even more urgent than ever. Of all possible cases we decided to focus our attention this year on Italy, because exactly there for a certain period of time public architecture has been a constitutional part of its civilization<semicolon/> i.e. the Roman machine. During a few centuries the standard urban infrastructure of any given Roman city (the theatre, the market, the agora, the baths, the temples, the basilica, the markets, the schools, the legion<squote/>s headquarters and so forth) was in fact the essential spine of public life. This architecture thus allowed the very existence of the cities the way we got to know them. Since then, the Commons experienced ups and downs, were boosted by the pride of the city bourgeois in the Gothic cities, and were even carefully planned by the newly developed modern states. In the last century, both the totalitarian state and the welfare state, used the Commons to fulfill their own particular agenda thus producing the final incarnation of the Commons as a solid architectural apparatus for the cities. Since the eighties however, post Thatcher politics (i.e. the Empire) has been eroding the Commons. Today, the Commons we have left in our western society has a heavily transformed profile. In certain nations, as Italy, the phenomenon was particularly evident, as the investments on welfare had been drastically cut. No more social housing, no more schools, no more post offices, no more civic centers: the desert. In the far depths of the Even Covered Field, the suburban mall surreptitiously replaced some of the functions, as such becoming the only possible stage for twisted remnants of anything public. The reoccuring crisis of the current world-order asks urgently for a way out. Can architecture - common expression of power - enable such a rupture, or at least bring a contribution towards another equilibrium? We believe a possibility lays (again) in the formalization of the Commons. This year we want to investigate if the Commons can still be made and how they can be effective again. We will design where the problem is more evident, in the endless extension of the Roman periphery, a nasty by-product of failed utopias and criminal real estate investments, and in the northern periphery of Milan where the planned city morphs into the informal accumulation of wildly individual choices. In Rome, during first semester, we will unfold a possible narrative following the lines of the Appia, a remarkable axis radiating from the city centre and pointing towards what is left of the Roman countryside. In the second semester we hope to repeate this <squote/>trick<squote/> in Milan, using the Northern axis of Corso Sempione. In the tradition of the Modern, we will locate and design schools, post offices, civic centers, police stations and more, expecting to be surprised by the students even at the level of the program. Success is not guaranteed, but the stakes are too high to be ignored.","The Commons - part 1: Appia Novissima will tackle the urgent issue of rebuilding the shared infrastructure of the European territory, with the Roman periphery as its case-study."
41,AR-401(e),Studio MA1 (Weinand),Théorie et critique du projet MA1 (Weinand),"The studio starts by a manual and intuitive discovery time. These discoveries are then applied to architecture by the means of a architecture program. Light, structure, texture but also shape will be modified to adapt to the scale and nature of the architecture. A great attention will be given to the understanding and development of structural details and/or of facade elements at 1 to 1 scale.",Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.
42,AR-401(y),Studio MA1 (Huang),Théorie et critique du projet MA1 (Huang),"The advent of new digital technologies has had a twofold impact on architectural thinking and urban design, transforming, on one hand, the processes for form generation and design production through algorithmic and parametric technologies, and, on the other hand, enabling an escape from the static fate of the built environment by facilitating dynamic interaction between inhabitants and their surrounding. Our interest in the orientation &#8220<semicolon/>Form + Type&#8221<semicolon/> is to explore meaningful form generating processes by the use of algorithmic and parametric tools and introduce the notion of digital vernacular in architectural and urban design thinking. In particular, we examine the potential of responsive morphogenetic design to explore intuitive form finding processes that address bio-climatic and socio-economic challenges. This studio (the ""Xixinan studio"") is the second in a planned series of design research projects focused on the theme of data-driven urbanism. While developing a base of digital evidence specific to each site, each studio will explore novel means of deploying this data to support design and generate form. The intellectual aim of the studio is to question the extent to which the data-scape can artificially generate urban form. Our interest is directed at the decoding and recoding of two distinct domains of knowledge: exteriority which represents a many-layered geographic condition and anteriority which represents the embedded knowledge of local architectural typologies and systems. While the exteriority of geographic data is crucial to our research, we place a primary emphasis on the generative potential of typology- what we have called ""growth typologies"". Decoding anterior form and then recoding and deploying it across new territories allows us to challenge the role of architecture in urban developments of increased scale and complexity.","This studio explores meaningful form generating processes by the use of parametric tools and introduces the notion of the digital vernacular in architectural and urban design thinking. Our studio site will be Xixinan, our programme the rural return of the urban elite to the countryside."
43,AR-402(b),Studio MA2 (Gugger),Théorie et critique du projet MA2 (Gugger),"In the turn towards the 20th century the growing industrialization of the Western world set the stage for neocolonial and imperial expansionist agendas based on the White man<squote/>s burden and his civilizing mission. The infamous scramble for Africa disrupted an entire continent introducing new cultural, economic, political and educational systems, with enduring repercussions. These thrusts propelled nationalist feelings and geographical conflicts over previously inexistent borders, with Morocco - standing at a geographical crossroads between Sub-Saharan Africa, the Maghrebi Arab-Muslim world and Mediterranean Europe - struggling to withstand the deriving cultural clashes. Post-independence Arabization tried to tackle issues of identity, but the clear Westernization of its cities and the new guise of economic imperialism - with the old colonial powers still dominating the trade balance - showcase an ongoing and unresolved conflict between past and present. Morocco<squote/>s recent development poses an additional threat: across the Arab world, the richest countries are the ones where traditional knowledge and urban heritage have been more quickly forgotten or entirely destroyed, fueled by an elite who still relies on western references as an alleged indicator of higher culture and education. The choice of Fez as a case study stems from its peripheral condition which explains its resistance to the liberal democratic transformations witnessed in other major cities. Fez<squote/>s medina - the vastest contiguous pedestrian area in the world - has managed to keep its physical conformation and original craft-based functions, continuing to be a productive habitat and the commercial center of the city. This is a showcase for how a self-built environment can still be used as a way to cope with modern life. The growth of the city and its new clusters furthermore allow us to investigate the difference between market derived urban poverty and rural poverty, demarcating the perennial validity of spatial values and vernacular construction techniques based on intuition (of which the courtyard house is the most prominent example). Fez<squote/>s case will be used to tackle the themes of ecology, semi-rural settlements, the privatization of land use, forms of production and the importance of typology as a way to create stable means of human association and community. Alongside a growing stream of large-scale international investment and the enticement of tourism, we are looking for tiny cues, nagging doubts and signs of the fusion between form and life, raising questions about identity, authenticity, tradition, the globalization of culture and the use of local resources.","laba<squote/>s focal theme is Urban Nature. Due to the scale and character of today<squote/>s territorial expansion, the definition of the urban becomes more diffuse and complex. laba<squote/>s didactic method takes students through design scales ranging from the territorial to the architectural in a year long course."
44,AR-402(c),Studio MA2 (Geers),Théorie et critique du projet MA2 (Geers),,"Through the notion of classicism, we want to investigate the possibility of architecture to reinstate the common cultural identity."
45,AR-402(e),Studio MA2 (Weinand),Théorie et critique du projet MA2 (Weinand),See AR 401(e) - Studio MA1.,Teaching the students to understand and to design innovative timber constructions under consideration of architectural and structural aspects. Learning parametric tools in order to build physical models representing structural fragments and details.
46,AR-402(y),Studio MA2 (Huang),Théorie et critique du projet MA2 (Huang),"The advent of new digital technologies has had a twofold impact on architectural thinking and urban design, transforming, on one hand, the processes for form generation and design production through algorithmic and parametric technologies, and, on the other hand, enabling an escape from the static fate of the built environment by facilitating dynamic interaction between inhabitants and their surrounding. Our interest in the orientation &#8220<semicolon/>Form + Type&#8221<semicolon/> is to explore meaningful form generating processes by the use of algorithmic and parametric tools and introduce the notion of digital vernacular in architectural and urban design thinking. In particular, we examine the potential of responsive morphogenetic design to explore intuitive form finding processes that address bio-climatic and socio-economic challenges. This Spring studio (the ""Xixinan Spring Studio"") builds on our fall studio, and explores in depth and at a finer architectural resolution the site-specific interventions in Xixinan, taking into account the material ecology, digital fabrication and traditional skills, off-site and on-site assembly, with a view to possibly realize a 1:1 prototype on site. The intellectual aim of the studio is to question the extent to which the data-scape can artificially generate architectural and constructive form. Our interest is directed at the decoding and recoding of two distinct domains of knowledge: exteriority which represents a many-layered geographic condition and anteriority which represents the embedded knowledge of local architectural typologies and systems. While the exteriority of geographic data is crucial to our research, we place a primary emphasis on the generative potential of typology- what we have called ""growth typologies"". Decoding anterior form and then recoding and deploying it across new territories allows us to challenge the role of architecture in urban developments of increased scale and complexity.","This studio explores meaningful form generating processes by the use of parametric tools and introduces the notion of the digital vernacular in architectural and urban design thinking. Our studio site will be Xixinan, our programme the rural return of the urban elite to the countryside."
47,AR-407,Visions and Utopias,Visions et Utopies,The course will stay balance on the border between the truth and the verisimilitude in order to discover and to go through the great potential rhetoric of the architectural representation in millennium adventure of the ideas. The objective is to stimulate the free expression takes from an image directory in order to situate culturally the work and to develop it into a coherent and specific reference frame.,The course will focus on ideal visions and utopic figurations. Visions and utopias will be examined in terms of visual expression as applied tools of the rhetorical art.
48,AR-415,,UE L : Art and architecture: constructing the view I,"Upside Down Perception, inspiration and imagination serve as essential cornerstones and starting points in every creative activity in design and architecture. We are nowadays experiencing profound changes and will be confronted in future with even more fundamental upheavals in the areas of technology, society and ecology. Creativity, inventiveness und mental agility will be in high demand especially among the current and future generations of students and trainees. Creativity is nurtured by a mentally agile, playful, sometimes near naive approach. This mental act, not always logical, mostly driven by intuition, is also of paramount importance for our continued existence because - in an environment characterized by rationally operating computers and machines - it is this non-rational and elusive tactic that will offer and secure an irreplaceable place for us humans in future. The module will focus on working with experimental and visual compositional techniques. The main interest lies in the visual connecting and rearranging of what is seemingly incompatible, image constructions that have very little to do with reality, utopia in terms of content, composed however in terms of visual vocabulary mostly as photographs, thus apparently very plausible and realizable. The module offered is divided into two main parts. In a first part, the participants develop on the computer a series of unconventional image collages based on the new arrangement of found photographic image components. In the second part of the module, the focus will be on everyday objects surrounding us. On the basis of a &#8220<semicolon/>Grille de Lecture&#8221<semicolon/>, their characteristics will be determined, their function queried, and by means of using antonyms, they will be finally visually re-interpreted, modified and taken to their absurd conclusion. The course encourages the use of digital instruments in engaging at the very extreme limit of the interplay between reality and fiction.","Key competences for every architect are the ability to represent ideas coherently and communicate a project<squote/>s aims effectively. Design, painting, photography, modelling and graphics are essential to the architectural project and become didactic instruments for the development of individual talent."
49,AR-416,,UE N : Art et architecture: constructing the view II,"Visualizing Vagueness The image as a medium has always played an important role in architecture. The creation of architecture is always preceded by a phase of imagination, be it in the form of a sketch, a diagram, a plan or a perspective - abstract or not. Architecture has always been imagined and communicated by means of images and pictures. Today, digital image editing allows the creation of images which are nearly impossible to distinguish from a photograph. But what other image strategies and aesthetics can be pursued with the help of digital image techniques - image strategies which are not only aimed at the most exact realization of photographic rendition? The module will focus on working with experimental 3D rendering techniques. The main interest lies in the calculated visualization of vagueness and imperfection. Using the rendering programme Cinema 4D, students will develop a compelling series of images, ranging from two-dimensional image compositions to figurative and fictitious arrangements of objects. Students will be introduced step-by-step to the software and its possible configurations. The goal is to develop unconventional and experimental image strategies and aesthetics for architectural representation using 3D rendering techniques. The course encourages the use of digital instruments in engaging at the very extreme limit of the interplay between reality and fiction.","Key competence for architects is the ability to represent ideas and communicate a project<squote/>s aims coherently. Therefore, the UE-N focuses on experimenting with artistic techniques for interpreting reality and transmitting ideas."
50,AR-421,Theory of architecture VII,Théorie de l<squote/>architecture VII,Starting with a contemporary representative built work<semicolon/> the theoretical courses establish links with inheritances and particularities of the following tendencies:,"The course deals with the complex relationship that contemporary architecture attempts to weave between art and nature : by placing it in a diachronic and historical perspective, and by using a critical reading of the writings and work of the architects who are registered in these artistic currents."
51,AR-423(a),Metaphoric projects: from Archizoom to Koolhaas,Projets métaphoriques d<squote/>Archizoom à Koolhaas,,"In the first part of the course, the works of Superstudio and Archizoom will be analyzed. The second part of the course will analyse the work of Koolhaas / OMA. In the third part of the course will study contemporary architecture proposed by the younger generation of architects."
52,AR-425,History of concrete,Histoire du béton,"The objective of the course is to present the evolution of fabrication and implementation of cement and concrete as worked out by architects, engineers, building contractors and artists.","Provide the student with a broad vision of the history of concrete construction, with particular attention to the study of forms, the composition of concrete and surface processings."
53,AR-427,History of housing,Histoire de l<squote/>habitation,"The Roman Domus, Housing in the Middle Ages, Renaissance housing, Terraced housing, Block of flats, Social housing in Modern architecture and following the second World War, Typological and distributive issues, Renovation, Comfort and furnishings.",The class focuses on key moments of European urban housing history. It centres its attention on current or replicated housing types of different social classes that mostly contributed to the definition of urban identity across borders and time.
54,AR-428,Confort by design in the 20th century architecture,Le projet du confort dans l<squote/>architecture du XXe s.,,"The main objective of this course, is to highlight the centrality of building services in the design of architecture; to grasp the implications of â€œcomfort designâ€ as a feature of â€œarchitectural designâ€ and to explore the intersection of the sensorial and the material in architectural histor"
