,CourseCode1,CourseNameEN1,CourseNameFR1,CourseContent1,SummaryEN1,Relationship,CourseCode2,CourseNameEN2,CourseNameFR2,CourseContent2,SummaryEN2
35,CIVIL-449,,Nonlinear analysis of structures,The course is based on assignments in which students will model structures tested in the laboratory and compare numerical results to experimental results. The course will be taught jointly by Dr. João Almeida and Prof. Katrin Beyer.,"This course deals with the nonlinear modelling and analysis of structures when subjected to monotonic, cyclic, and dynamic loadings, focusing in particular on the seismic response of structures. It introduces solution methods for nonlinear static and dynamic problems.",Depends on,CIVIL-321,Numerical modelling of solids and structures,Modélisation numérique des solides et structures,"Solids and structures numerical modeling is addressed through the finite-element method. Purely analytic aspects are first presented, before describing numerical interpolation, integration and resolution of solid mechanics problems by using various finite element types.","Introduction to finite elements<semicolon/> boundary conditions<semicolon/> strong and weak forms, Galerkin and matrix forms of equilibrium. Continuum and structural elements<semicolon/> interpolation<semicolon/> convergence criteria<semicolon/> stiffness matrix<semicolon/> consistent nodal forces<semicolon/> stress recovery. C° elements<semicolon/> shape functions<semicolon/> isoparametric elements<semicolon/> numerical integration. Programming the finite element method Applications of the finite element method in civil engineering."
36,CIVIL-449,,Nonlinear analysis of structures,The course is based on assignments in which students will model structures tested in the laboratory and compare numerical results to experimental results. The course will be taught jointly by Dr. João Almeida and Prof. Katrin Beyer.,"This course deals with the nonlinear modelling and analysis of structures when subjected to monotonic, cyclic, and dynamic loadings, focusing in particular on the seismic response of structures. It introduces solution methods for nonlinear static and dynamic problems.",Depends on,CIVIL-420,Dynamic analysis of structures,Dynamique des structures,Develop capabilities to determine natural frequencies of vibrating structures as well as resultant stresses and movements.,"ONE DEGREE OF FREEDOM SYSTEMS Free vibrations, damped vibrations, harmonically forced vibrations, foundation movements, non harmonically forced vibrations, folding integral, impact, explosion-force, Newmark<squote/>s method, generalization, virtual work : distributed mass systems of rigid and flexible elements. SYSTEMS HAVING SEVERAL DEGREES OF FREEDOM Generalities, free vibrations, numerical resolution of Holzer<squote/>s method, determination of natural frequencies by numerical iteration, damped vibrations, forced vibrations, spectra. Introduction to modal analysis, tuned mass dampers, Fourier transforms, frequency domain analysis. CASE STUDIES Tacoma Narrows Bridge. Millenium Bridge, London. Measures on the Eiffel Tower. Foundation isolation of the City Hall, Los Angeles. Amusement park structures. Tuned mass dampers on Swiss pedestrian bridges and diving platforms."
37,CIVIL-449,,Nonlinear analysis of structures,The course is based on assignments in which students will model structures tested in the laboratory and compare numerical results to experimental results. The course will be taught jointly by Dr. João Almeida and Prof. Katrin Beyer.,"This course deals with the nonlinear modelling and analysis of structures when subjected to monotonic, cyclic, and dynamic loadings, focusing in particular on the seismic response of structures. It introduces solution methods for nonlinear static and dynamic problems.",Depends on,CIVIL-522,Seismic engineering,Seismic engineering,This course deals with the main aspects of seismic design of buildings and bridges. It covers different structural design and evaluation philosophies for new and existing reinforced concrete and masonry structures.,Introduction - Conceptual seismic design - Analysis methods - Design and evaluation methods - Design philosophies - Reinforced concrete structures - Existing reinforced concrete and masonry structures
38,CIVIL-532,Materials and structures,Matériaux et structures,"Background and motivation<semicolon/> basic components, binders and Supplementary Cementitious Materials (SCM)<semicolon/> rheology of fresh cementitious materials and admixtures<semicolon/> optimisation of properties<semicolon/> improvement of workability (self-compacting concretes - SCC)<semicolon/> improvement of mechanical strength (HSC - UHPFRC)<semicolon/> improvement of deformability (addition of fibres, FRC and UHPFRC)<semicolon/> mechanics of strain hardening fibre reinforced concretes<semicolon/> improvement of durability (NC, HSC, UHPFRC)<semicolon/> test methods specification of materials and quality insurance<semicolon/> assessment of environmental impact ways towards conceptual design of innovative structures","Starting from basic knowledge of concrete technology, this course develops relations between composition, processing, microstructure and structural properties of ""new concretes"", with a special emphasis on Ultra High Performance Fibre Reinforced Concretes (UHPFRC).",Prepares for,CIVIL-437,Existing structures : selected topics,"Structures existantes, chapitres choisis",Advanced examination methods are introduced to verifiy structural and fatigue safety of existing structures; intervention methods including new technologies are introduced to improve and modify existing civil structure.,"Maintenance interventions: Planning of rehabilitative interventions (concept and design of rehabilitation measures), intervention validation, maintenance measures adequacy. Rehabilitation and protection methods: for structures in reinforced concrete (surface protection systems, concrete re-placing, electrochemical methods, inhibitors), steel, timber and masonry. Additional reinforcement: Glued composite lamellas, external post-tensioning, design, force application (anchorage, deviators), hazard scenarios. Different aged concrete composite structural elements: Early age and long term behaviour, restrained deformations, risk of cracking, fracture behaviour, improved concrete and steel, ultra-high performance fibre reinforced concrete. Accidental actions: Options for intervention, cost effectiveness, safety measure adequacy. Operational measures: Options, monitoring (instrumentation conceptual design, detection reliability and probability, limit values). Management of structures: Approach and models, life cycle considerations, intervention strategy and program"
39,CIVIL-532,Materials and structures,Matériaux et structures,"Background and motivation<semicolon/> basic components, binders and Supplementary Cementitious Materials (SCM)<semicolon/> rheology of fresh cementitious materials and admixtures<semicolon/> optimisation of properties<semicolon/> improvement of workability (self-compacting concretes - SCC)<semicolon/> improvement of mechanical strength (HSC - UHPFRC)<semicolon/> improvement of deformability (addition of fibres, FRC and UHPFRC)<semicolon/> mechanics of strain hardening fibre reinforced concretes<semicolon/> improvement of durability (NC, HSC, UHPFRC)<semicolon/> test methods specification of materials and quality insurance<semicolon/> assessment of environmental impact ways towards conceptual design of innovative structures","Starting from basic knowledge of concrete technology, this course develops relations between composition, processing, microstructure and structural properties of ""new concretes"", with a special emphasis on Ultra High Performance Fibre Reinforced Concretes (UHPFRC).",Depends on,MSE-271,Materials II + Laboratory Work,Matériaux II TP,"Laboratory work intended to put into practice the topics previously seen in theory, such as test methods and materials characterization.","Tests on concrete : Implementation of concrete, characterization of fresh concrete, testing of concrete specimens: compressive strength, dynamic elastic modulus, tensile tests and fracture mechanics: Brazilian and 3-points bending with/without notch, 3-points bending of reinforced concrete beam. Tests on metals : Tensile test on reebar, impact test on a structural steel, quenched end of a steel (Jominy test), determination of residual stresses by the sectioning method in a welded assembly. Tests on wood : Tests on wood specimens: compression resistance, static elastic modulus, tensile test, interaction with water. Tests on masonry : Manufacture of masonry walls, mechanical behavior of masonry and their components."
40,COM-300,Stochastic models in communication,Modèles stochastiques pour les communications,"Review of probability: axioms of probability, random variable and random vector (multi-dimensional random variable). Continuous-time and discrete-time stochastic processes: second-order analysis (stationarity, ergodism, spectral density, Wiener-Khintchine relations, response of a LTI (Linear Time Invariant) system to random inputs, Gaussian processes, ARMA processes, Wiener filter). Application to simple optimal detection schemes, and to simple image restoration and compression. Poisson process and Poisson shot noise. Application to optical fiber transmission. Discrete-time Markov chains: Ergodic chains, transient and asymptotic behavior, stationary distribution, absorbing chains, hitting time, simple random walks, branching processes. Continuous-time Markov chains. Birth and death process: transient and steady-state analysis. Simple queues: definitions, Little<squote/>s law, M/M/1... M/M/s/K, M/G/1,M/G/infty queues.","The goal of this class is to acquire a working knowledge of the tools of random processes used by an engineer in communication, data science and computer science.",Benefits from,EE-204,Circuits and systems I,Circuits et systèmes I,This course provides an introduction to the theory and analysis methods of electrical circuits.,"1. Basic concepts and fundamental laws - charge, current, voltage &#8232<semicolon/>- power and energy &#8232<semicolon/>- circuit elements (R, L, C, independent and dependent sources, coupled inductances) &#8232<semicolon/>- Kirchhoff&#8232<semicolon/><squote/>s laws - limitations of Kirchhoff&#8232<semicolon/><squote/>s laws - Simplification of circuis - Voltage and current dividers &#8232<semicolon/>- Source substitution 2. Fundamental theorems - Thévenin<squote/>s theorem &#8232<semicolon/>- Norton<squote/>s&#8232<semicolon/> theorem - Maximum power transfer &#8232<semicolon/>- Superposition 3. Analysis methods - Nodal analysis &#8232<semicolon/>- Mesh analysis 5. Alternating current circuits - Phasors and complex representation &#8232<semicolon/>- Impedance and admittance &#8232<semicolon/>- Active and reactive power &#8232<semicolon/>- Thévenin and Norton<squote/>s theorems in alternating current circuits &#8232<semicolon/>- Active power transfer 6. Three-phase circuits - symmetrical three-phase circuits &#8232<semicolon/>- Star and delta connections and transformations &#8232<semicolon/>- Power &#8232<semicolon/>- Unbalanced loads 7. Transient analysis - impulse and step response - First-order circuits - Time constant &#8232<semicolon/>- Second-order circuits 8. Two-port networks - Impedance and admittance parameters &#8232<semicolon/>- Hybrid and transmission parameters"
41,COM-300,Stochastic models in communication,Modèles stochastiques pour les communications,"Review of probability: axioms of probability, random variable and random vector (multi-dimensional random variable). Continuous-time and discrete-time stochastic processes: second-order analysis (stationarity, ergodism, spectral density, Wiener-Khintchine relations, response of a LTI (Linear Time Invariant) system to random inputs, Gaussian processes, ARMA processes, Wiener filter). Application to simple optimal detection schemes, and to simple image restoration and compression. Poisson process and Poisson shot noise. Application to optical fiber transmission. Discrete-time Markov chains: Ergodic chains, transient and asymptotic behavior, stationary distribution, absorbing chains, hitting time, simple random walks, branching processes. Continuous-time Markov chains. Birth and death process: transient and steady-state analysis. Simple queues: definitions, Little<squote/>s law, M/M/1... M/M/s/K, M/G/1,M/G/infty queues.","The goal of this class is to acquire a working knowledge of the tools of random processes used by an engineer in communication, data science and computer science.",Depends on,EE-205,,Circuits and systems II,"This class teaches the theory of linear time-invariant (LTI) systems. These systems serve both as models of physical reality (such as the wireless channel) and as engineered systems (such as electrical circuits, filters and control strategies).","The design of advanced systems (such as WiFi, cell phones, drones, airplanes) requires a thorough theoretical underpinning. This class teaches one of the most powerful and important pillars: The theory of linear time-invariant (LTI) systems. These systems serve both as models of physical reality (such as the wireless channel) and as engineered systems (such as filters and control strategies). The class will cover the following topics:"
42,COM-300,Stochastic models in communication,Modèles stochastiques pour les communications,"Review of probability: axioms of probability, random variable and random vector (multi-dimensional random variable). Continuous-time and discrete-time stochastic processes: second-order analysis (stationarity, ergodism, spectral density, Wiener-Khintchine relations, response of a LTI (Linear Time Invariant) system to random inputs, Gaussian processes, ARMA processes, Wiener filter). Application to simple optimal detection schemes, and to simple image restoration and compression. Poisson process and Poisson shot noise. Application to optical fiber transmission. Discrete-time Markov chains: Ergodic chains, transient and asymptotic behavior, stationary distribution, absorbing chains, hitting time, simple random walks, branching processes. Continuous-time Markov chains. Birth and death process: transient and steady-state analysis. Simple queues: definitions, Little<squote/>s law, M/M/1... M/M/s/K, M/G/1,M/G/infty queues.","The goal of this class is to acquire a working knowledge of the tools of random processes used by an engineer in communication, data science and computer science.",Depends on,MATH-232,Probabilities and statistics,Probabilités et statistique,A basic course in probability and statistics,"Revision of basic set theory and combinatorics. Elementary probability: random experiment<semicolon/> probability space<semicolon/> conditional probability<semicolon/> independence. Random variables: basic notions<semicolon/> density and mass functions<semicolon/> examples including Bernoulli, binomial, geometric, Poisson, uniform, normal<semicolon/> mean, variance, correlation and covariance<semicolon/> moment-generating function<semicolon/> joint distributions, conditional and marginal distributions<semicolon/> transformations. Many random variables: notions of convergence<semicolon/> laws of large numbers<semicolon/> central limit theorem<semicolon/> delta method<semicolon/> applications. Descriptive statistics: basic graphs and statistics<semicolon/> notions of robustness. Statistical inference: different types of estimator and their properties and comparison<semicolon/> confidence intervals<semicolon/> hypothesis testing<semicolon/> likelihood inference and statistical modelling<semicolon/> Bayesian inference and prediction<semicolon/> examples."
43,COM-308,,Internet analytics,"The class seeks a balance between foundational but relatively basic material in algorithms, statistics, graph theory and related fields, with real-world applications inspired by the current practice of internet and cloud services. Specifically, we look at social and information networks, recommender systems, clustering and community detection, search/retrieval/topic models, dimensionality reduction, stream computing, and online ad auctions. Together, these provide a good coverage of the main uses for data mining and analytics applications in social networking, e-commerce, social media, etc. The course is combination of theoretical materials and weekly laboratory sessions, where we explore several large-scale datasets from the real world. For this, you will work with a dedicated infrastructure based on Hadoop and Apache Spark.","Internet analytics is the collection, modeling, and analysis of user data in large-scale online services, such as social networking, e-commerce, search, and advertisement. This class explores a number of the key functions of such online services that have become ubiquitous over the past decade.",Depends on,COM-300,Stochastic models in communication,Modèles stochastiques pour les communications,"The goal of this class is to acquire a working knowledge of the tools of random processes used by an engineer in communication, data science and computer science.","Review of probability: axioms of probability, random variable and random vector (multi-dimensional random variable). Continuous-time and discrete-time stochastic processes: second-order analysis (stationarity, ergodism, spectral density, Wiener-Khintchine relations, response of a LTI (Linear Time Invariant) system to random inputs, Gaussian processes, ARMA processes, Wiener filter). Application to simple optimal detection schemes, and to simple image restoration and compression. Poisson process and Poisson shot noise. Application to optical fiber transmission. Discrete-time Markov chains: Ergodic chains, transient and asymptotic behavior, stationary distribution, absorbing chains, hitting time, simple random walks, branching processes. Continuous-time Markov chains. Birth and death process: transient and steady-state analysis. Simple queues: definitions, Little<squote/>s law, M/M/1... M/M/s/K, M/G/1,M/G/infty queues."
44,COM-401,,Cryptography and security,"Ancient cryptography: Vigenère, Enigma, Vernam cipher, Shannon theory Diffie-Hellman cryptography: algebra, Diffie-Hellman, ElGamal RSA cryptography: number theory, RSA, factoring Elliptic curve cryptography: elliptic curves over a finite field, ECDH, ECIES Symmetric encryption: block ciphers, stream ciphers, exhaustive search Integrity and authentication: hashing, MAC, birthday paradox Applications to symmetric cryptography: mobile telephony, Bluetooth, WiFi Public-key cryptography: cryptosystem, digital signature Trust establishment: secure communication, trust setups Case studies: Bluetooth, TLS, SSH, PGP, biometric passport","This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented.",Benefits from,COM-301,Network security,Sécurité des réseaux,To understand the threats to which computer networks are exposed and to know how to protect a network using appropriate technical and organisational measures.,"<!-- P { margin-bottom: 0.08in<semicolon/> direction: ltr<semicolon/> color: rgb(0, 0, 0)<semicolon/> widows: 2<semicolon/> orphans: 2<semicolon/> }P.western { font-family: ""Times New Roman"",serif<semicolon/> font-size: 10pt<semicolon/> }P.cjk { font-family: ""Times New Roman"",serif<semicolon/> font-size: 10pt<semicolon/> }P.ctl { font-family: ""Times New Roman"",serif<semicolon/> font-size: 10pt<semicolon/> } --> Common attacks: Protective measures: Protocols and applications Organisational aspects: Regulatory aspects:"
45,COM-401,,Cryptography and security,"Ancient cryptography: Vigenère, Enigma, Vernam cipher, Shannon theory Diffie-Hellman cryptography: algebra, Diffie-Hellman, ElGamal RSA cryptography: number theory, RSA, factoring Elliptic curve cryptography: elliptic curves over a finite field, ECDH, ECIES Symmetric encryption: block ciphers, stream ciphers, exhaustive search Integrity and authentication: hashing, MAC, birthday paradox Applications to symmetric cryptography: mobile telephony, Bluetooth, WiFi Public-key cryptography: cryptosystem, digital signature Trust establishment: secure communication, trust setups Case studies: Bluetooth, TLS, SSH, PGP, biometric passport","This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented.",Prepares for,COM-401,,Cryptography and security,"This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented.","Ancient cryptography: Vigenère, Enigma, Vernam cipher, Shannon theory Diffie-Hellman cryptography: algebra, Diffie-Hellman, ElGamal RSA cryptography: number theory, RSA, factoring Elliptic curve cryptography: elliptic curves over a finite field, ECDH, ECIES Symmetric encryption: block ciphers, stream ciphers, exhaustive search Integrity and authentication: hashing, MAC, birthday paradox Applications to symmetric cryptography: mobile telephony, Bluetooth, WiFi Public-key cryptography: cryptosystem, digital signature Trust establishment: secure communication, trust setups Case studies: Bluetooth, TLS, SSH, PGP, biometric passport"
46,COM-401,,Cryptography and security,"Ancient cryptography: Vigenère, Enigma, Vernam cipher, Shannon theory Diffie-Hellman cryptography: algebra, Diffie-Hellman, ElGamal RSA cryptography: number theory, RSA, factoring Elliptic curve cryptography: elliptic curves over a finite field, ECDH, ECIES Symmetric encryption: block ciphers, stream ciphers, exhaustive search Integrity and authentication: hashing, MAC, birthday paradox Applications to symmetric cryptography: mobile telephony, Bluetooth, WiFi Public-key cryptography: cryptosystem, digital signature Trust establishment: secure communication, trust setups Case studies: Bluetooth, TLS, SSH, PGP, biometric passport","This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented.",Depends on,CS-250,,Algorithms,"The students learn the theory and practice of basic concepts and techniques in algorithms. The course covers mathematical induction, techniques for analyzing algorithms, elementary data structures, major algorithmic paradigms such as dynamic programming, sorting and searching, and graph algorithms.",Mathematical Induction Analysis of Algorithms Data structures Design of algorithms by induction Greedy Algorithms Sorting and searching Graphs algorithms and data structures Complexity
47,COM-401,,Cryptography and security,"Ancient cryptography: Vigenère, Enigma, Vernam cipher, Shannon theory Diffie-Hellman cryptography: algebra, Diffie-Hellman, ElGamal RSA cryptography: number theory, RSA, factoring Elliptic curve cryptography: elliptic curves over a finite field, ECDH, ECIES Symmetric encryption: block ciphers, stream ciphers, exhaustive search Integrity and authentication: hashing, MAC, birthday paradox Applications to symmetric cryptography: mobile telephony, Bluetooth, WiFi Public-key cryptography: cryptosystem, digital signature Trust establishment: secure communication, trust setups Case studies: Bluetooth, TLS, SSH, PGP, biometric passport","This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented.",Depends on,MATH-310,Algebra,Algèbre,The aim of this course is to introduce and study some of the notions of algebra which are especially useful in applications.,1. Basic arithmetic 2. Congruences and congruence classes 3. Rings and fields 4. Groups 5. Polynomials 6. Finite fields
48,COM-406,,Information theory and signal processing,This class presents basic concepts of Information Theory and Signal Processing and their relevance to emerging problems in Data Science and Machine Learning. A tentative list of topics covered is:,Information Theory and Signal Processing are key underpinnings of Data Science. They provide frameworks for signal representation and for fundamental performance bounds.,Depends on,COM-300,Stochastic models in communication,Modèles stochastiques pour les communications,"The goal of this class is to acquire a working knowledge of the tools of random processes used by an engineer in communication, data science and computer science.","Review of probability: axioms of probability, random variable and random vector (multi-dimensional random variable). Continuous-time and discrete-time stochastic processes: second-order analysis (stationarity, ergodism, spectral density, Wiener-Khintchine relations, response of a LTI (Linear Time Invariant) system to random inputs, Gaussian processes, ARMA processes, Wiener filter). Application to simple optimal detection schemes, and to simple image restoration and compression. Poisson process and Poisson shot noise. Application to optical fiber transmission. Discrete-time Markov chains: Ergodic chains, transient and asymptotic behavior, stationary distribution, absorbing chains, hitting time, simple random walks, branching processes. Continuous-time Markov chains. Birth and death process: transient and steady-state analysis. Simple queues: definitions, Little<squote/>s law, M/M/1... M/M/s/K, M/G/1,M/G/infty queues."
49,COM-430,,Modern digital communications: a hands-on approach,"Software radio : key concepts. Matlab implementation of the signal processing chain to the level of detail in Principles of Digital Communications. Channel modeling, estimation, equalization. Implementation of a basic wireless communication system using a software-defined radio testbed. Fading and diversity. OFDM and MIMO : theory and implementation. CDMA in the context of a GPS system. Decoding of a GPS signal and positioning.","This course complements the theoretical knowledge learned in PDC with more advanced topics such as OFDM, MIMO, fading chancels, and GPS positioning. This knowledge is put into practice with hands-on exercises based on Matlab and on a software-defined radio platform.",Depends on,COM-302,,Principles of digital communications,This course is on the foundations of digital communication. The focus is on the transmission problem (rather than being on source coding).,Optimal receiver for vector channels Optimal receiver for waveform (AWGN) channels Various signaling schemes and their performance Efficient signaling via finite-state machines Efficient decoding via Viterbi algorithm Communicating over bandlimited AWGN channels Nyquist Criterion Communicating over passband AWGN channels
50,COM-480,,Data visualization,"(Approximatively) Week 1: Introduction to Data visualization Web development Week 2: Javascript Week 3: More Javascript Week 4: Data Data driven documents (D3.js) Week 5: Interaction, filtering, aggregation (UI /UX). Advanced D3 / javascript libs Week 6: Perception, cognition, color Marks and channels Week 7: Designing visualizations (UI/UX) Project introduction Dos and don<squote/>ts for data-viz Week 8: Maps (theory) Maps (practice) Week 9: Text visualization Week 10: Graphs Week 11: Tabular data viz Music viz Week 12: Introduction to scientific visualisation Week 13: Storytelling with data / data journalism Creative coding Week 14: Wrap-Up","Understanding why and how to present complex data interactively in an effective manner has become a crucial skill for any data scientist. In this course, you will learn how to design, judge, build and present your own interactive data visualizations.",Depends on,CS-250,,Algorithms,"The students learn the theory and practice of basic concepts and techniques in algorithms. The course covers mathematical induction, techniques for analyzing algorithms, elementary data structures, major algorithmic paradigms such as dynamic programming, sorting and searching, and graph algorithms.",Mathematical Induction Analysis of Algorithms Data structures Design of algorithms by induction Greedy Algorithms Sorting and searching Graphs algorithms and data structures Complexity
51,COM-480,,Data visualization,"(Approximatively) Week 1: Introduction to Data visualization Web development Week 2: Javascript Week 3: More Javascript Week 4: Data Data driven documents (D3.js) Week 5: Interaction, filtering, aggregation (UI /UX). Advanced D3 / javascript libs Week 6: Perception, cognition, color Marks and channels Week 7: Designing visualizations (UI/UX) Project introduction Dos and don<squote/>ts for data-viz Week 8: Maps (theory) Maps (practice) Week 9: Text visualization Week 10: Graphs Week 11: Tabular data viz Music viz Week 12: Introduction to scientific visualisation Week 13: Storytelling with data / data journalism Creative coding Week 14: Wrap-Up","Understanding why and how to present complex data interactively in an effective manner has become a crucial skill for any data scientist. In this course, you will learn how to design, judge, build and present your own interactive data visualizations.",Depends on,CS-305,,Software engineering,"This course teaches the basics of modern software development, focusing on techniques and practices used to build computer software that meets high standards of quality, reliability, security, and maintainability.","Being a good software engineer entails a continuous learning process. Unlike mathematics or physics, this field changes fast, thus making continuous and independent learning essential. This course prepares students to become lifelong auto-didacts that build upon the foundation of imutable principles governing good software engineering."
52,COM-480,,Data visualization,"(Approximatively) Week 1: Introduction to Data visualization Web development Week 2: Javascript Week 3: More Javascript Week 4: Data Data driven documents (D3.js) Week 5: Interaction, filtering, aggregation (UI /UX). Advanced D3 / javascript libs Week 6: Perception, cognition, color Marks and channels Week 7: Designing visualizations (UI/UX) Project introduction Dos and don<squote/>ts for data-viz Week 8: Maps (theory) Maps (practice) Week 9: Text visualization Week 10: Graphs Week 11: Tabular data viz Music viz Week 12: Introduction to scientific visualisation Week 13: Storytelling with data / data journalism Creative coding Week 14: Wrap-Up","Understanding why and how to present complex data interactively in an effective manner has become a crucial skill for any data scientist. In this course, you will learn how to design, judge, build and present your own interactive data visualizations.",Depends on,CS-401,,Applied data analysis,"This course teaches the basic techniques and practical skills required to make sense out of a variety of data, with the help of the most acclaimed software tools in the data science world: pandas, scikit-learn, Spark, etc.","Thanks to a new breed of software tools that allows to easily process and analyze data at scale, we are now able to extract invaluable insights from the vast amount of data generated daily. As a result, both the business and scientific world are undergoing a revolution which is fueled by one of the most sought after job profiles: the data scientist. This course covers the fundamental steps of the data science pipeline: Data Acquisition Data Wrangling Data Interpretation Data Visualization Reporting The students will learn the techniques during the ex-cathedra lectures, and will then get familiar with the software tools to complete the homework assignments (which will be in part executed under the supervision of the teacher and the assistants, during the lab hours). In parallel, the students will embark in a semester-long project, split in agile teams of 3. The outcome of such team efforts will be unified towards the end of the course, to build a project portfolio that will be made public (and available as open-source). At the end of the semester, students will also take a 3-hour final exam in a classroom with computers, where they will be asked to complete a data analysis pipeline (both with code and extensive comments) on a dataset they have never worked with before."
53,COM-480,,Data visualization,"(Approximatively) Week 1: Introduction to Data visualization Web development Week 2: Javascript Week 3: More Javascript Week 4: Data Data driven documents (D3.js) Week 5: Interaction, filtering, aggregation (UI /UX). Advanced D3 / javascript libs Week 6: Perception, cognition, color Marks and channels Week 7: Designing visualizations (UI/UX) Project introduction Dos and don<squote/>ts for data-viz Week 8: Maps (theory) Maps (practice) Week 9: Text visualization Week 10: Graphs Week 11: Tabular data viz Music viz Week 12: Introduction to scientific visualisation Week 13: Storytelling with data / data journalism Creative coding Week 14: Wrap-Up","Understanding why and how to present complex data interactively in an effective manner has become a crucial skill for any data scientist. In this course, you will learn how to design, judge, build and present your own interactive data visualizations.",Benefits from,CS-486,,Human computer interaction,"This course starts with a simple premise: if a piece of software is useful, joyful and easy to use, people will want it. We thus teach methods for engaging user experience design.",Basic concepts of human-computer interaction Introduction to HCI: its aims and goals Design thinking Qualitative research User modeling: persona and empathy diagram Task analysis Visual design Basic concepts of cognitive science How people reason and mental models How people learn to use software products How people perceive the world How people process information Prototyping methods for HCI design Storyboarding Wireframe prototyping Interactive prototyping Video prototyping Evaluation techniques Cognitive walkthrough Heuristic evaluation
54,COM-480,,Data visualization,"(Approximatively) Week 1: Introduction to Data visualization Web development Week 2: Javascript Week 3: More Javascript Week 4: Data Data driven documents (D3.js) Week 5: Interaction, filtering, aggregation (UI /UX). Advanced D3 / javascript libs Week 6: Perception, cognition, color Marks and channels Week 7: Designing visualizations (UI/UX) Project introduction Dos and don<squote/>ts for data-viz Week 8: Maps (theory) Maps (practice) Week 9: Text visualization Week 10: Graphs Week 11: Tabular data viz Music viz Week 12: Introduction to scientific visualisation Week 13: Storytelling with data / data journalism Creative coding Week 14: Wrap-Up","Understanding why and how to present complex data interactively in an effective manner has become a crucial skill for any data scientist. In this course, you will learn how to design, judge, build and present your own interactive data visualizations.",Benefits from,EE-558,,A network tour of data science,"This course offers an introduction to algorithms in data science and network analysis. A major goal is to design and analyze graph-based algorithms in the context of learning, recommendation, visualization, and representation. The course provides coding exercices on real-world cases.","Context In the last decade, our information society has mutated into a data society, where the volume of worldwide data doubles every 1.5 years. How to make sense of such tremendous volume of data? Developing effective techniques to extract meaningful information from large-scale and high-dimensional dataset has become essential for the success of business, government and science. Objective The goal of this course is to provide a broad introduction to effective algorithms in data science and network analysis. A major effort will be given to show that existing data analysis techniques can be defined and enhanced on graphs. Graphs encode complex structures like cerebral connection, stock exchange, and social network. Strong mathematical tools have been developed based on linear and non-linear graph spectral harmonic analysis to advance the standard data analysis algorithms. Main topics of the course are networks, unsupervised and supervised learning, recommendation, visualization, sparse representation, multi-resolution analysis, neuron network, and large-scale computing. Structure The course is organized into two parts: lectures (2 hours) and coding exercises (1 hour). The essential objective of the exercises is to apply the theory on real-world cases. Evaluation Evaluation will be conducted on a continuous basis: homeworks and coding assignments. Bio Prof. Pierre Vandergheynst: Full professor of EE and CS. Developer of graph wavelets, a multi-resolution data analysis technique based on spectral harmonic analysis. Bio Dr. Xavier Bresson: Scientist Researcher in EE. Developer of total variation clustering, an exact relaxation technique for graph balanced cut problems. Publications at NIPS, ICML, JMLR. Invited Research Fellow at the 2014 workshop ""Network Science and Graph algorithms"", ICERM, Brown, US and the 2017 Workshop on &#8221<semicolon/>Variational Methods, New Optimization Techniques and Fast Numerical Algorithms&#8221<semicolon/>, Isaac Newton Institute, Cambridge, UK. Outline of the 14 weeks See Annex or this link: https://www.dropbox.com/s/tpw9xd7my7374ym/outline_course_GDS.txt?dl=0"
